email,company_name,address,website_url,industry,domain,source,created_at
t-yano@serio-k.co.jp,セリオ建設株式会社,〒540-0012 大阪市中央区谷町1丁目3番27号 大手前建設会館内,https://serio-k.co.jp/company/,工務店・リフォーム,serio-k.co.jp,auto_batch,2025-12-04T00:47:36.738933
info@hr-symphony.co.jp,株式会社　HRシンフォニー,〒533-0033   大阪府大阪市東淀川区東中島1-6-14  新大阪第2日大ビル8F,https://www.hr-symphony.co.jp/about/,,hr-symphony.co.jp,auto_batch,2025-12-04T00:47:59.379461
info@kiki-beauty.com,株式会社kiki,"〒730-0805
広島県広島市中区十日市町2-9-2 JUEIビル7F",http://www.kiki-beauty.com/,美容医療,kiki-beauty.com,auto_batch,2025-12-04T00:49:27.512107
info@ternaj-hd.com,株式会社テルナホールディングス,〒104-0045　東京都中央区築地1-9-11 ムルーエ築地603,https://www.ternaj-hd.com/doctor-support/,美容医療,ternaj-hd.com,auto_batch,2025-12-04T00:49:35.941312
info@suhadalab.com,株式会社スハダ美容研究所,大阪市北区西天満5丁目2番6号,http://suhadalab.com/22/company.html,美容医療,suhadalab.com,auto_batch,2025-12-04T00:49:43.881203
jsprs-office01@shunkosha.com,一般社団法人　日本形成外科学会,〒169-0072 東京都新宿区大久保2丁目4番地12号 新宿ラムダックスビル9階,https://convention.jtbcom.co.jp/jsprs69/abstract/index.html,医療法人,convention.jtbcom.co.jp,auto_batch,2025-12-04T00:50:03.205420
info@focuscapital.co.jp,株式会社フォーカス,,https://www.focuscapital.co.jp/outline/,,focuscapital.co.jp,auto_batch,2025-12-04T00:50:36.887160
ysfudousan@outlook.jp,YS不動産株式会社,〒320-0866 栃木県宇都宮市西大寛2丁目1-17,https://www.ys-fudousan.co.jp/company/,不動産,ys-fudousan.co.jp,auto_batch,2025-12-04T00:50:49.762440
itbinfo@itbfudosan.co.jp,有限会社アイ・ティ・ビー不動産,静岡市駿河区小鹿３００番地の５,http://itbfudosan.co.jp/about/,不動産,itbfudosan.co.jp,auto_batch,2025-12-04T00:51:10.543148
info@s-light.co.jp,株式会社 サンライト,茨城県水戸市城南2-10-6　Gardens水戸302,https://s-light.co.jp/profile,不動産,s-light.co.jp,auto_batch,2025-12-04T00:51:15.218293
info@syataku.co.jp,日本社宅サービス株式会社,,https://www.syataku.co.jp/contact/parking,不動産,syataku.co.jp,auto_batch,2025-12-04T00:51:26.282948
azeg@azplan.co.jp,株式会社アズ企画設計,,https://www.azplan.co.jp/contact/,不動産,azplan.co.jp,auto_batch,2025-12-04T00:51:30.857823
com.s@comscoltd.com,株式会社コムズ,〒063-0005 北海道札幌市西区山の手5条1丁目1番23号,https://www.comscoltd.com/inquiry/,不動産,comscoltd.com,auto_batch,2025-12-04T00:51:45.709173
info@kudou-koumuten.co.jp,株式会社工藤工務店,〒254-0077　神奈川県平塚市東中原1丁目3ー62,https://www.kudou-koumuten.co.jp/co_navi/afeea2bdaf58f88d213c4554439170d4-254.html,工務店・リフォーム,kudou-koumuten.co.jp,auto_batch,2025-12-04T00:52:03.954324
c-kouzi@rehome-plaza.co.jp,ひらいリノベーション株式会社,千葉県市原市姉崎628-12,https://www.rehome-plaza.co.jp/company/,工務店・リフォーム,rehome-plaza.co.jp,auto_batch,2025-12-04T00:52:31.629444
info@safetyhouse.co.jp,株式会社セーフティハウス,〒314-0031 茨城県鹿嶋市宮中5273-4,https://www.safetyhouse.co.jp/about_us/,工務店・リフォーム,safetyhouse.co.jp,auto_batch,2025-12-04T00:52:51.247893
info@ishii-koumuten.co.jp,株式会社 石井工務店,千葉県館山市北条1599番地,https://www.ishii-koumuten.co.jp/about-us/index.html,工務店・リフォーム,ishii-koumuten.co.jp,auto_batch,2025-12-04T00:53:36.856057
info@shuei2006.co.jp,株式会社シュウエイ,横浜市港北区綱島東5丁目10番43号 105,https://www.shuei2006.co.jp/contact.html,工務店・リフォーム,shuei2006.co.jp,auto_batch,2025-12-04T00:54:05.930728
reform@daikou-r.jp,有限会社ダイコウ,神奈川県海老名市国分寺台１丁目１８−３２,https://www.daikou-r.jp/contact,工務店・リフォーム,daikou-r.jp,auto_batch,2025-12-04T00:54:14.680012
info@c2-c.co.jp,C2コンサルタント株式会社,愛知県名古屋市中区錦2-15-10 ESSE錦10F,https://www.c2-c.co.jp/company.html,,c2-c.co.jp,auto_batch,2025-12-04T00:55:44.174154
seven_seas@central-group.co.jp,"セントラルインターナショナル株式会社 （CENTRAL INTERNATIONAL CO.,LTD）",〒332-0006　埼玉県川口市末広1-11-2 セントラルグループ本社ビル,http://www.central-group.co.jp/sevenseas/company/index.html,,central-group.co.jp,auto_batch,2025-12-04T00:55:47.585076
info@tuyuguti-tax.jp,税理士法人パートナーズ関西/株式会社つゆぐち会計事務所,〒594-0066 大阪府和泉市桑原町247番地6,https://www.tuyuguti-tax.jp/office,士業法人,tuyuguti-tax.jp,auto_batch,2025-12-04T00:56:12.779930
info@aozora-tax.com,あおぞら税理士法人,〒616-8217　京都市右京区常盤東ノ町6番地5　SKYﾋﾞﾙ2F,https://www.aozora-tax.com/overview,士業法人,aozora-tax.com,auto_batch,2025-12-04T00:56:16.343729
info@sr-iw.jp,社会保険労務士法人岩下労務管理事務所,"〒376-0023
群馬県桐生市錦町2-1-23",https://sr-iw.jp/office/,士業法人,sr-iw.jp,auto_batch,2025-12-04T00:56:25.418659
headoffice@ajhc.or.jp,一般社団法人 日本医療法人協会,東京都千代田区富士見 2-6-12 AMビル3階,https://ajhc.or.jp/zigyo.html,医療法人,ajhc.or.jp,auto_batch,2025-12-04T05:06:33.083234
