email,company_name,address,stage,last_sent_date,initial_sent_date,除外,phone,tel_called,contact_person,tel_result,tel_note,tel_date
job-cs@datt.co.jp,ダットジャパン株式会社,,follow1,2026-03-14,2026-03-14,,,,,,,
csi-jisui@csiinc.co.jp,株式会社シーエスアイ,,follow1,2026-03-14,2026-03-14,,,,,,,
info@northdetail.co.jp,株式会社ノースディテール,,follow1,2026-03-14,2026-03-14,,,,,,,
human.being@dowell.co.jp,ドゥウェル株式会社,,follow1,2026-03-14,2026-03-14,,,,,,,
info@asystem-design.co.jp,株式会社エイシステム,,follow1,2026-03-14,2026-03-14,,,,,,,
toiawase@alp-inc.jp,株式会社エー・エル・ピー,,follow1,2026-03-14,2026-03-14,,,,,,,
info@ridgeworks.co.jp,株式会社リッジワークス,,follow1,2026-03-14,2026-03-14,,,,,,,
web_master@exanethal.co.jp,株式会社エクサネットＨＡＬ,,initial,,,,,,,,,
postbox@north-t.co.jp,株式会社ノーステクノロジー,,initial,,,,,,,,,
use-info@use-i.co.jp,株式会社ユニットシステムエンジニアリング,,initial,,,,,,,,,
info@mediamagic.co.jp,株式会社メディア・マジック,,initial,,,,,,,,,
jimu@hccnet.co.jp,株式会社エイチ・シー・シー,,initial,,,,,,,,,
mcnet@ms3.ncv.ne.jp,エムシーネット株式会社,,initial,,,,,,,,,
info@hjk.ne.jp,エイチ・ジェイ・ケイ株式会社,,initial,,,,,,,,,
info@northgrid.co.jp,株式会社ノースグリッド,,initial,,,,,,,,,
excellent-talent@om-j.co.jp,株式会社ＯＭＪ,,initial,,,,,,,,,
info@kiroru-inc.jp,株式会社キロル,,initial,,,,,,,,,
info@protech-web.co.jp,プロテック株式会社,,initial,,,,,,,,,
catstaff@kkcat.co.jp,株式会社シー・エー・ティー,,initial,,,,,,,,,
info@solutioncenter.co.jp,株式会社ソリューションセンター,,initial,,,,,,,,,
info@suncreer.co.jp,株式会社サンクレエ,,initial,,,,,,,,,
info@plugins.co.jp,株式会社プラグイン,,initial,,,,,,,,,
info_dev@softech.co.jp,株式会社ソフテック,,initial,,,,,,,,,
nkj@nkjs.co.jp,株式会社日本経営情報システム,,initial,,,,,,,,,
info@irex.jp,株式会社アイレックス,,initial,,,,,,,,,
k-kikaku@ce-hd.co.jp,株式会社ＣＥホールディングス,,initial,,,,,,,,,
query-info@kamuy-innovation.co.jp,カムイ・イノベーション株式会社,,initial,,,,,,,,,
info@midori-eng.co.jp,株式会社みどり工学研究所,,initial,,,,,,,,,
info@orgo.co.jp,株式会社ＯＲＧＯ,,initial,,,,,,,,,
g64@grahams-no.jp,株式会社グラハムズナンバー,,initial,,,,,,,,,
inquiry@olive.co.jp,オリーブ情報処理サービス株式会社,,initial,,,,,,,,,
lapureinfo@lapure.co.jp,株式会社ラピュール,,initial,,,,,,,,,
info@tp.nextech.co.jp,株式会社ネクステック,,initial,,,,,,,,,
info@denkisogo.jp,北海道電気相互株式会社,,initial,,,,,,,,,
info@agilesystem.co.jp,株式会社アジャイルシステム,,initial,,,,,,,,,
info@rasweb.co.jp,株式会社ラスコンピュータ,,initial,,,,,,,,,
create@hokkai.or.jp,有限会社システムハウスクリエイト,,initial,,,,,,,,,
info@ideas.co.jp,株式会社イデアシステム,,initial,,,,,,,,,
info@pylon.co.jp,株式会社パイロン,,initial,,,,,,,,,
info@top-system.jp,有限会社トップシステム,,initial,,,,,,,,,
info@iooos.co.jp,株式会社ｉｏｏｏｓ,,initial,,,,,,,,,
sunsystem@sunsystem-web.co.jp,株式会社サンシステム,,initial,,,,,,,,,
customer@sabizz.jp,株式会社サビッズ,,initial,,,,,,,,,
info-2025@comphonia.jp,有限会社コンフォニア,,initial,,,,,,,,,
info@frontsite.co.jp,フロントサイト株式会社,,initial,,,,,,,,,
eng-sales@scsk.jp,ＳＣＳＫ株式会社,,initial,,,,,,,,,
aikotoba@nsd.co.jp,株式会社ＮＳＤ,,initial,,,,,,,,,
hr-seraku@seraku.co.jp,株式会社セラク,,initial,,,,,,,,,
info@iij.ad.jp,株式会社インターネットイニシアティブ,,initial,,,,,,,,,
pms-1@marble-corp.co.jp,株式会社マーブル,,initial,,,,,,,,,
zoomsight@ml.hitachi-sis.co.jp,株式会社日立社会情報サービス,,initial,,,,,,,,,
stu@nekonet.co.jp,ヤマトシステム開発株式会社,,initial,,,,,,,,,
erp-dcs@dcs.co.jp,三菱総研ＤＣＳ株式会社,,initial,,,,,,,,,
info@nttd-i.co.jp,株式会社ＮＴＴデータ・アイ,,initial,,,,,,,,,
partner_g@mjs.co.jp,株式会社ミロク情報サービス,,initial,,,,,,,,,
stfsir@am.nttdata.co.jp,株式会社ＮＴＴデータグループ,,initial,,,,,,,,,
mcr-products@mcr.co.jp,三菱電機ソフトウエア株式会社,,initial,,,,,,,,,
solution1@sakura-is.co.jp,さくら情報システム株式会社,,initial,,,,,,,,,
propartners@obc.co.jp,株式会社オービックビジネスコンサルタント,,initial,,,,,,,,,
ml-isb-info@isb.co.jp,株式会社アイ・エス・ビー,,initial,,,,,,,,,
nc@nisseicom.co.jp,株式会社ニッセイコム,,initial,,,,,,,,,
digi-eve@scc-kk.co.jp,株式会社エスシーシー,,initial,,,,,,,,,
hyper_info@mdsol.co.jp,三菱電機ＩＴソリューションズ株式会社,,initial,,,,,,,,,
students2026@am.nttdata-ccs.co.jp,株式会社NTTデータCCS,,initial,,,,,,,,,
info@arsystem.co.jp,ＡＲシステム株式会社,,initial,,,,,,,,,
info@artenica.jp,株式会社アルテニカ,,initial,,,,,,,,,
info@andpad.co.jp,株式会社アンドパッド,,initial,,,,,,,,,
hr@list.soliton.co.jp,株式会社ソリトンシステムズ,,initial,,,,,,,,,
info@tss.co.jp,株式会社東邦システムサイエンス,,initial,,,,,,,,,
corporate-planning@techmatrix.co.jp,テクマトリックス株式会社,,initial,,,,,,,,,
marketing-info@worksap.co.jp,株式会社ワークスアプリケーションズ,,initial,,,,,,,,,
jobinfo@jtsnet.co.jp,株式会社ジャパンテクニカルソフトウェア,,initial,,,,,,,,,
market@alsi.co.jp,アルプスシステムインテグレーション株式会社,,initial,,,,,,,,,
info@xcat.co.jp,株式会社クロスキャット,,initial,,,,,,,,,
edu_info@brainpad.co.jp,株式会社ブレインパッド,,initial,,,,,,,,,
info@else.co.jp,株式会社エルスシステム,,initial,,,,,,,,,
ncs_sales2@ncsx.co.jp,日本コンピュータシステム株式会社,,initial,,,,,,,,,
info@ecbeing.co.jp,株式会社ｅｃｂｅｉｎｇ,,initial,,,,,,,,,
personalinfo@geot.jp,ジオテクノロジーズ株式会社,,initial,,,,,,,,,
pr_info@iwi.co.jp,株式会社インテリジェントウェイブ,,initial,,,,,,,,,
soumu@shinko-1930.co.jp,株式会社信興テクノミスト,,initial,,,,,,,,,
info@dbcom.co.jp,株式会社コムネット,,initial,,,,,,,,,
asl_soumu@asl.co.jp,株式会社エーエスエル,,initial,,,,,,,,,
sales@arsaga.jp,アルサーガパートナーズ株式会社,,initial,,,,,,,,,
sec_dep@idh-net.co.jp,株式会社アイ・ディ・エイチ,,initial,,,,,,,,,
tainoue@cybernet.co.jp,サイバネットシステム株式会社,,initial,,,,,,,,,
sct@navitime.co.jp,株式会社ナビタイムジャパン,,initial,,,,,,,,,
sales-info@canon-electec.co.jp,キヤノン電子テクノロジー株式会社,,initial,,,,,,,,,
soumu@central-soft.co.jp,セントラルソフト株式会社,,initial,,,,,,,,,
p-mark@cct-inc.co.jp,株式会社コアコンセプト・テクノロジー,,initial,,,,,,,,,
