氏名,E-Mail,,,
札幌デジタル＆どうぶつ・医療・観光専門学校,s-digital@keisen-g.ac.jp,,,
北海道ハイテクノロジー専門学校,job@hht.ac.jp,,,
日本航空大学校・北海道校 新千歳空港キャンパス,info@jaaw.ac.jp,,,
札幌観光ブライダル・製菓専門学校,info@skb.ac.jp,,,
大原簿記情報専門学校札幌校,info_hok@mail.o-hara.ac.jp,,,
北海道どうぶつ・医療専門学校,info@hdi.ac.jp,,,
札幌どうぶつ専門学校,info@s-do.ac.jp,,,
札幌看護医療専門学校,job@snm.ac.jp,,,
北海道エコ・動物自然専門学校,info-eco@hht.ac.jp,,,
吉田学園医療歯科専門学校,employ@yoshida-g.ac.jp,,,
札幌ベルエポック製菓調理専門学校,info@foods.belle.ac.jp,,,
札幌ベルエポック美容専門学校,info@sapporo.belle.ac.jp,,,
青山建築デザイン・医療事務専門学校,aoyamasc@cocoa.ocn.ne.jp,,,
大原医療福祉専門学校,info_hok@mail.o-hara.ac.jp,,,
札幌医療秘書福祉専門学校,info-sapporo-med@sanko.ac.jp,,,
札幌こども専門学校,info-sapporo-child@sanko.ac.jp,,,
札幌商工会議所付属専門学校,ca-bosyu@sapporo-cci.or.jp,,,
札幌スイーツ＆カフェ専門学校,info-sapporo-sweets@sanko.ac.jp,,,
札幌マンガ・アニメ＆声優専門学校,info@smg.ac.jp,,,
せいとく介護こども福祉専門学校,info@seitoku-g.ac.jp,,,
専門学校 北日本自動車大学校,info-kita@a-tec.ac.jp,,,
専門学校 札幌デザイナー学院,info@sdg.ac.jp,,,
青森県ビューティー＆メディカル専門学校,kinamigakuen@kinami.ac.jp,,,
青森歯科医療専門学校,info@aomori-dental.ac.jp,,,
青森中央経理専門学校,daihiro-tsukamoto@aomoricgu.ac.jp,,,
青森中央文化専門学校,acabunka@aomoricgu.ac.jp,,,
青森ビジネス専門学校,info@aobiji.ac.jp,,,
S.K.K.情報ビジネス専門学校,info@net-skk.co.jp,,,
専門学校アレック情報ビジネス学院 ,alec@alec.ac.jp,,,
東奥保育・福祉専門学院,info@tousen-aomori.com,,,
東北メディカル学院,info@rinken.ac.jp,,,
独立行政法人国立病院機構弘前総合医療センター附属看護学校,106-Kangaku@mail.hosp.go.jp,,,
八戸保健医療専門学校,azuma_810@hachi-iryo.jp,,,
弘前市医師会看護専門学校,koukan@hirosaki.aomori.med.or.jp,,,
岩手理容美容専門学校,katsumata@iwateribi.com,,,
上野法律ビジネス専門学校,jimukyoku@ueno.ac.jp,,,
東北ヘアーモード学院,info@hair-mode.jp,,,
盛岡ヘアメイク専門学校,morihair@mhc.ac.jp,,,
岩手県立農業大学校,CE0014@pref.iwate.jp,,,
岩手県立宮古高等看護学院,CC0022@pref.iwate.jp,,,
岩手医科大学医療専門学校,iryousen@j.iwate-med.ac.jp,,,
岩手看護専門学校,iwate-kango@kango.iwate-saiseiikai.jp,,,
岩手リハビリテーション学院,iwate_rh@iwate-saiseiikai.jp,,,
MCL菜園調理師専門学校,info@mclfood.ac.jp,,,
MCL盛岡医療大学校,info@morii-ja.jp,,,
MCL盛岡医療福祉スポーツ専門学校,	morii@morii.ac.jp,,,
MCL盛岡情報ビジネス＆デザイン専門学校,olive@morijyobi.ac.jkp,,,
釜石市国際外語大学校,info@kiflc.ac.jp,,,
北日本医療福祉専門学校 ,iryo@kitakita.ac.jp,,,
国際医療福祉専門学校 一関校,kokuigak99@way.ocn.ne.jp,,,
専修大学北上福祉教育専門学校,senshu-u-fukusi@themis.ocn.ne.jp,,,
花巻高等看護専門学校,hanakan2@cap.ocn.ne.jp,,,
盛岡ペットワールド専門学校,wan@wanco.ac.jp,,,
秋田ヘアビューティカレッジ,	ahbc@hairbeauty-akita.com,,,
秋田県立衛生看護学院,kangaku@pref.akita.lg.jp,,,
秋田県歯科医療専門学校,aadc@akita-da.or.jp,,,
秋田県理容美容専門学校,info@akita-beauty.ac.jp,,,
秋田コア ビジネスカレッジ,gakusei@core-akita.ac.jp,,,
秋田市医師会立秋田看護学校,kango@estate.ocn.ne.jp,,,
秋田社会福祉専門学校,afc@ito-gakuen.ac.jp,,,
秋田しらかみ看護学院,info@asnursing.ac.jp,,,
秋田情報ビジネス専門学校,aibc＠ito-gakuen.ac.jp,,,
秋田リハビリテーション学院,gakusei@core-akita.ac.jp,,,
中通高等看護学院,gakuin@meiwakai.or.jp,,,
代々木アニメーション学院 仙台校,info@yagnet.jp,,,
葵会仙台看護専門学校,snc-kouhou@aoikai.ac.jp,,,
国際マルチビジネス専門学校,info@mbc.ac.jp,,,
仙台医健・スポーツ専門学校,info@sendai-iken.ac.jp,,,
仙台医療秘書福祉＆IT専門学校,info-sendai-med@sanko.ac.jp,,,
仙台医療福祉専門学校,sifQ@hokuto.ac.jp,,,
仙台ウェディング＆ブライダル専門学校,info-sendai-bridal@sanko.ac.jp,,,
仙台ECO動物海洋専門学校,info@sendai-eco.ac.jp,,,
仙台大原簿記情報公務員専門学校,obsQ@hokuto.ac.jp,,,
仙台工科専門学校,sksQ@hokuto.ac.jp,,,
仙台こども専門学校,info-sendai-child@sanko.ac.jp,,,
仙台スイーツ＆カフェ専門学校,info-sendai-sweets@sanko.ac.jp,,,
仙台スクールオブミュージック＆ダンス専門学校,info@sendai-com.ac.jp,,,
仙台接骨医療専門学校,sss@jusen.ac.jp,,,
仙台総合ビジネス公務員専門学校,	career@sugawara.ac.jp,,,
仙台総合ペット専門学校,career@sugawara.ac.jp,,,
仙台デザイン＆テクノロジー専門学校,	info@sca.ac.jp,,,
仙台デザイン専門学校,	sdsQ@hokuto.ac.jp,,,
仙台ビューティーアート専門学校,info-sendai-beauty@sanko.ac.jp,,,
仙台リゾート＆スポーツ専門学校,	info-sendai-sports@sanko.ac.jp,,,
仙台リハビリテーション専門学校,	post@senreha.ac.jp,,,
仙台理容美容専門学校,nyugaku@senribi.com,,,
酒田市立酒田看護専門学校,kenko@city.sakata.lg.jp,,,
酒田調理師専門学校,info@sakacho.ac.jp,,,
新庄コアカレッジ,scc_office@core.ac.jp,,,
専門学校 山形V.カレッジ,ycb_info@ycb.ac.jp,,,
山形医療技術専門学校,info@ymisn.ac.jp,,,
山形厚生看護学校,kouseikango@email.plala.or.jp,,,
山形歯科専門学校,shikasen@keishi.org,,,
山形スポーツ医療福祉専門学校,info@mail.o-hara.ac.jp,,,
山形調理師専門学校,yamacho@uyo.ac.jp,,,
山形デザイン専門学校,yacd@yacd.ac.jp,,,
ケイセンビジネス公務員カレッジ,f-info@ksen.ac.jp,,,
郡山健康科学専門学校,info@k-tohto.ac.jp,,,
郡山ヘアメイクカレッジ,info@khc.ac.jp,,,
国際アート＆デザイン大学校,ad@nsg.gr.jp,,,
国際医療看護福祉大学校,imedical@fsg.gr.jp,,,
WiZ 国際情報工科自動車大学校,wiz@nsg.gr.jp,,,
国際ビジネス公務員大学校,jo-bi@fsg.gr.jp,,,
国際ビューティ＆フード大学校,bf@nsg.gr.jp,,,
東北歯科専門学校,bosyu@touhoku-ds.com,,,
日本調理技術専門学校,kouhou@nitcho.com,,,
福島医療専門学校,koho@f-iryo.ac.jp,,,
いわき市医療センター看護専門学校,ik-nurs@educet01.plala.or.jp ,,,
公立岩瀬病院附属高等看護学院,iwase-kango@educet01.plala.or.jp,,,
福島県農業総合センター農業短期大学校,nougyou.noutan@pref.fukushima.lg.jp,,,
今泉服飾専門学校,info@imajo.net,,,
いわき文化服飾専門学校,kit@f.email.ne.jp,,,
太田看護専門学校,ohta-nurse@ohta-hp.or.jp,,,
大原看護専門学校,gakko@ohara-hp.or.jp,,,
郡山看護専門学校,infom@k-kango.or.jp,,,
しらかわ介護福祉専門学校,s-kaigo@shintokukai.org,,,
竹田看護専門学校,kango@ takeda.or.jp,,,
福島県高等理容美容学院,Ribiyo000@fbba.jp,,,
アール医療福祉専門学校,gakkou@a-ru.ac.jp,,,
いばらきどうぶつ専門学校,info@iasc.ac.jp,,,
医療専門学校 水戸メディカルカレッジ,info@mmc.ac.jp,,,
晃陽看護栄養専門学校,info@koyo-gakuen.ac.jp,,,
専門学校つくば自動車大学校,nyugaku@tact.ac.jp,,,
専門学校 文化デザイナー学院,design@bunka-gakuen.ac.jp,,,
専門学校 水戸自動車大学校,my1@mito.ac.jp,,,
専門学校 水戸ビューティカレッジ,my1@mito.ac.jp,,,
筑波医療福祉専門学校,thw@n-tsukuba.ac.jp,,,
つくば栄養医療調理製菓専門学校,tukuba@koyo-gakuen.ac.jp,,,
筑波研究学園専門学校,nyugaku@tist.ac.jp,,,
つくば国際ペット専門学校,info@tip.ac.jp,,,
つくばビジネスカレッジ専門学校,nyugaku@tsg.ac.jp,,,
