email,company_name,address,phone,website,source,stage,last_sent_date,initial_sent_date,除外
abcd@efg.ne.jp,友愛薬局,宮崎県都城市鷹尾４丁目４−１９,0986-26-3787,https://www.kusurinomadoguchi.com/miyazaki/s52733,ekiten_clinic,initial,,,
kanpou@suganuma-yakkyoku.com,漢方相談スガヌマ薬局,茨城県坂東市岩井4443,0297-35-0003,https://www.suganuma-yakkyoku.com/reserve,ekiten_clinic,initial,,,
henshinchintai@apamanshop.co.jp,アパマンショップ 大和郡山店,奈良県大和郡山市南郡山町238番地10,0743-55-7211,https://www.apamanshop.com/inquiry/shopentry/29044513/,ekiten_life,initial,,,
professionalniwashou@gmail.com,深鴻庭樹凛,山梨県南巨摩郡富士川町鰍沢178-6,090-1853-7891,https://sinkoutei-niwashou.com/Page?id=Pf6e3661,ekiten_life,initial,,,
"professionalniwashou@gmail.com','_blank');",深鴻庭樹凛,山梨県南巨摩郡富士川町鰍沢178-6,090-1853-7891,https://sinkoutei-niwashou.com/Page?id=Pf6e3661,ekiten_life,initial,,,
staff@bumblebenglish.com,BumbleB 英語学校,東京都世田谷区用賀4-28-10,080-4174-1970,https://bumblebenglish.com/ja,ekiten_lesson,initial,,,
hper.asagaya@gmail.com,プライベートジムHPER(ハイパー) 岡崎店,愛知県岡崎市柱2丁目5-1,090-3455-6412,https://hper-gym.com/location/okazaki/,ekiten_lesson,initial,,,
hper.esaka@gmail.com,プライベートジムHPER(ハイパー) 岡崎店,愛知県岡崎市柱2丁目5-1,090-3455-6412,https://hper-gym.com/location/okazaki/,ekiten_lesson,initial,,,
hper.gifuusa@gmail.com,プライベートジムHPER(ハイパー) 岡崎店,愛知県岡崎市柱2丁目5-1,090-3455-6412,https://hper-gym.com/location/okazaki/,ekiten_lesson,initial,,,
info@funterra-kids.com,FunterraKids三鷹井口校,東京都三鷹市井口2-13-37,,https://www.funterra-kids.com/?page_id=61,ekiten_school,initial,,,
mitaka@funterra-kids.com,FunterraKids三鷹井口校,東京都三鷹市井口2-13-37,,https://www.funterra-kids.com/?page_id=61,ekiten_school,initial,,,
onlinestore@clownandsons.co.jp,SUNAO COFFEE,東京都品川区西五反田７丁目19-3,03-6421-7393,https://clownandsons.co.jp/?mode=f3#sunao,ekiten_food,initial,,,
ikawadani@otakaraya.jp,おたからや伊川谷店,兵庫県神戸市西区池上２丁目30-1　,078-976-1717,http://ikawadani.otakaraya.net,ekiten_store,initial,,,
xxxx@yahoo.co.jp,SEVENCOLORS【セブンカラーズ】イオンタウン弥富店,愛知県弥富市五明町蒲原1371-4 ,0567-69-7433,http://sevencolors.jp.net,ekiten_beauty,initial,,,
yoji0902001@yahoo.co.jp,亀さんカンフー｜大阪の太極拳教室,大阪府大阪市此花区西九条6丁目1-27,,https://kame-kung-fu.com/,ekiten_lesson,initial,,,
isainformation@isa-school.co.jp,パソコン教室ISA　銀座校,東京都中央区銀座３丁目２−１５,03-3564-1212,https://www.isa-school.net/map/map_ginza_glasse.php,ekiten_lesson,initial,,,
seiyu-matsukawado@kaitoridaikichi.jp,買取大吉 西友松河戸店,愛知県春日井市松河戸町2-10-9,0568-97-0272,https://www.kaitori-daikichi.jp/store/seiyu-matsukawado/,ekiten_life,initial,,,
infokasho@ybb.ne.jp,生花保存加工とブーケのお店フラワーカショウ（花ノ勝）,宮城県仙台市宮城野区福住町5－11,022-352-1022,http://kasho.cart.fc2.com,ekiten_store,initial,,,
support@creatif-space.org,Creatif クレアティフ,東京都調布市小島町1丁目４-１８,042-444-8025,https://www.creatif-space.org/,ekiten_lesson,initial,,,
spc24h@yahoo.co.jp,スピードクリーン24H,埼玉県さいたま市見沼区小深作367-1-7F,0120-966-869,https://spc24h.com/,ekiten_life,initial,,,
kayo@kouyouin.com,健康鍼灸　香葉院,青森県青森市古川1-21-20,080-1475-8597,https://kouyouin.com,ekiten_relax,initial,,,
ec-system@ma.store.uniqlo.com,ユニクロ姫路飾磨店,兵庫県姫路市飾磨区加茂２０３−１,079-231-5172,http://www.uniqlo.co.jp/,ekiten_store,initial,,,
noreply@mail.fastretailing.com,ユニクロ姫路飾磨店,兵庫県姫路市飾磨区加茂２０３−１,079-231-5172,http://www.uniqlo.co.jp/,ekiten_store,initial,,,
xxx@uniqlo.com,ユニクロ姫路飾磨店,兵庫県姫路市飾磨区加茂２０３−１,079-231-5172,http://www.uniqlo.co.jp/,ekiten_store,initial,,,
info@domain.co.jp,学習ハウスサテライト,愛知県岡崎市竜泉寺町字上ノ畑12番,090-8471-5729,https://clown-tom.com/,ekiten_school,initial,,,
info@asahikawa-cachette.jp,Bar cachette（バー カシェット）,北海道旭川市３条通６丁目３３５−３,0166-25-2266,http://www.asahikawa-cachette.jp,ekiten_food,initial,,,
manabi-jimukyoku@kirsite.com,まいれ鍼灸整骨院・整体院 南草津院,滋賀県草津市追分南４丁目５−８,077-567-6788,https://x.gd/PL0vF,ekiten_relax,initial,,,
mail.mail@fukamori2025.com,～癒しの森～DeepForest,宮城県仙台市泉区市名坂字鳥井原58-1,,https://fukamori2025.com/,ekiten_relax,initial,,,
shop@hiroshima-olive.jp,一歩の窓口winwin名古屋東,愛知県名古屋市東区徳川町1503,052-385-1023,https://ippo-winwin.com,ekiten_life,initial,,,
yoyaku@hamaya.co.jp,浜屋八尾久宝寺店,大阪府八尾市北久宝寺３丁目１−６４,072-925-2200,https://www.hamaya.co.jp/shop/yaokitakyuhoji.html,ekiten_store,initial,,,
takayasu.co@nifty.com,横浜　高安畳店,神奈川県横浜市港北区樽町２丁目１３−２０,045-531-0474,http://takayasutatami.world.coocan.jp/,ekiten_life,initial,,,
tagajo-yawata4@kaitoridaikichi.jp,買取大吉　多賀城八幡4丁目店,宮城県多賀城市八幡4-7-74,022-353-9780,https://www.kaitori-daikichi.jp/store/tagajo-yawata4/,ekiten_life,initial,,,
info@dfitt.com,ダンス×フィットネススクールD-fitt｜池袋スタジオ,東京都豊島区南池袋2-22-4,080-9010-9290,https://dfitt.com,ekiten_lesson,initial,,,
lien_maho@yahoo.co.jp,Esthetiquesalon Lien-リアン-,愛知県名古屋市中川区荒子2-18-1-201,090-1745-2477,http://www.esthe-lien-nagoya.com,ekiten_beauty,initial,,,
himawarisendai@outlook.jp,ひまわり整骨院,宮城県仙台市太白区郡山７丁目２-２６,022-248-8680,https://www.himawarisendai.com,ekiten_relax,initial,,,
wombathouseadmin@me.com,Wombat House ひたちなか校,茨城県ひたちなか市東石川２６９１ー１４,029-219-5587,https://wombathouse.com,ekiten_lesson,initial,,,
ishibashi_met@entetsu.co.jp,ベジテリア 遠鉄百貨店,静岡県浜松市中央区砂山町３２０－２,053-457-5435,https://www.endepa.com/,ekiten_food,initial,,,
itsupport@dept.entetsu.co.jp,ベジテリア 遠鉄百貨店,静岡県浜松市中央区砂山町３２０－２,053-457-5435,https://www.endepa.com/,ekiten_food,initial,,,
koukan@dept.entetsu.co.jp,ベジテリア 遠鉄百貨店,静岡県浜松市中央区砂山町３２０－２,053-457-5435,https://www.endepa.com/,ekiten_food,initial,,,
kitaosaka_gakuin666@yahoo.co.jp,北大阪学院私市進学教室,大阪府交野市私市山手3丁目1-14,072-892-3157,https://ameblo.jp/kitaosakagakuin/,ekiten_school,initial,,,
u002fkitaosaka_gakuin666@yahoo.co.jp,北大阪学院私市進学教室,大阪府交野市私市山手3丁目1-14,072-892-3157,https://ameblo.jp/kitaosakagakuin/,ekiten_school,initial,,,
keisetsu1030@icloud.com,占い鑑定＆占い教室 風見鶏,岡山県岡山市北区駅前町1丁目8-18,070-2365-1030,https://uranai-kazamidori.com,ekiten_school,initial,,,
bitou_shinkyuuin0109@yahoo.co.jp,美藤鍼灸院,新潟県燕市野中才６４３,080-3270-1972,https://www.itsuaki.com/yoyaku/webreserve/storesel?client=www.bitou-shinkyu.com,ekiten_relax,initial,,,
takasaki-munadaka@kaitoridaikichi.jp,買取大吉 高崎棟高店,群馬県高崎市棟高町1868-121,0120-863-628,https://www.kaitori-daikichi.jp/store/takasaki-munadaka/,ekiten_store,initial,,,
ginza@ginza.jp.net,S.feel 武蔵藤沢店,埼玉県入間市東藤沢3-4-1,04-2966-7030,http://www.handsome-web.jp/shop/artemani127/,ekiten_beauty,initial,,,
dammy@ace-shingaku.com,エース進学塾,千葉県千葉市若葉区千城台北１－２－３９,043-308-7396,https://ace-shingaku.com/,ekiten_school,initial,,,
