email,company_name,address,phone,website,source,stage,last_sent_date,initial_sent_date,除外
contact@lawliet.co.jp,ローライト株式会社,東京都中央区築地2-10-2 JP-BASE築地駅前 4階,,https://www.lawliet.co.jp,wantedly,initial,,,
contact@k-sync.com,株式会社Ksync,東京都渋谷区神宮前六丁目２３番４号　 桑野ビル２階,,https://k-sync.com,wantedly,initial,,,
xxxxx@emolva.tokyo,株式会社EMOLVA,〒107-0061 東京都港区北青山2-12-8  BIZSMART青山 215号室,,http://emolva.tokyo,wantedly,initial,,,
admin@floramaternity.com,Flora株式会社,東京都中央区日本橋本町２丁目３番１１号,,http://flora-tech.jp,wantedly,initial,,,
info@tokihana.co.jp,株式会社トキハナ,東京都港区新橋1-18-21 第一日比谷ビル THE HUB 新橋 511,,https://tokihana.co.jp,wantedly,initial,,,
shumpei.kikuta@leapwell.co.jp,株式会社LeapWell,東京都品川区北品川五丁目5番 15号 大崎ブライトコア4階 414号室,,https://leapwell.co.jp,wantedly,initial,,,
yamada@gmail.com,株式会社スタッフライフ,東京都渋谷区桜丘町4-17 PORTAL Apartment & Art POINT   #104,,http://stafflife.jp,wantedly,initial,,,
info@nanairoinc.co.jp,株式会社nanairo,東京都渋谷区広尾1丁目2番地1号 ヒカリビル4階,,https://nanairoinc.co.jp,wantedly,initial,,,
info@ailes-prod.com,株式会社AILES,東京都新宿区西新宿4丁目29-6,,https://ailes-prod.com,wantedly,initial,,,
gastro-info@gastroduce-japan.co.jp,Gastroduce Japan株式会社,福岡県福岡市博多区下川端町10−9 CIRCLES中洲川端3F,,https://gastroduce-japan.co.jp,wantedly,initial,,,
info@pla-cole.co,冒険社プラコレ,神奈川県横浜市西区南幸一丁目1番1  JR横浜タワー21階,,https://pla-cole.co,wantedly,initial,,,
recruit@pla-cole.co,冒険社プラコレ,神奈川県横浜市西区南幸一丁目1番1  JR横浜タワー21階,,https://pla-cole.co,wantedly,initial,,,
contact@spicecube.biz,スパイスキューブ株式会社,大阪府大阪市浪速区桜川1-1-30,,https://www.spicecube.biz,wantedly,initial,,,
yamada.taro@delight.com,株式会社Delight,〒170-0013 東京都豊島区東池袋3丁目22-17   東池袋セントラルプレイス3F,,https://delight21.co.jp,wantedly,initial,,,
xxxxxxx@ooo.com,株式会社Def tribe,大阪府大阪市西区靭本町1丁目12-4  信濃橋東洋ビル7階,,https://www.e-deftribe.com,wantedly,initial,,,
info@e-plus.co.jp,株式会社リモートワーククラウド,東京都千代田区外神田5丁目1番10号,,https://remote-work-cloud.com,wantedly,initial,,,
contact@kadobeya.net,株式会社カドベヤ,〒150-0041　東京都渋谷区神南1-13-15 S-Glanz SHIBUYA 3階,,http://www.kadobeya.net,wantedly,initial,,,
info@illmatic-crew.co.jp,株式会社イルマティッククルー,東京都新宿区高田馬場1-29-8 いちご高田馬場ビル701,,https://illmatic-crew.co.jp,wantedly,initial,,,
info@mholdings.co.jp,エムホールディングス株式会社,東京都港区南青山3-3-3 リビエラ南青山ビルA館4F,,https://mholdings.co.jp,wantedly,initial,,,
info@recrea-solutions.com,株式会社リ・クリエ,東京都品川区西五反田7丁目13－5 K五反田407,,https://www.recrea-solutions.com,wantedly,initial,,,
contact@mail.com,株式会社Wonder Education,東京都港区北青山２丁目１２番 ８号ＢＩＺＳＭＡＲＴ青山,,https://wonder-education.co.jp,wantedly,initial,,,
pr@stmn.co.jp,株式会社スタメン,東京都千代田区麹町6-6-2 番町 麹町ビルディング 5F,,https://stmn.co.jp,wantedly,initial,,,
u003epr@stmn.co.jp,株式会社スタメン,東京都千代田区麹町6-6-2 番町 麹町ビルディング 5F,,https://stmn.co.jp,wantedly,initial,,,
contact@sixty-percent.com,株式会社シックスティーパーセント,東京都目黒区1-8-1 VORT中目黒Ⅰ 1階,,https://corp.sixtypercent.com,wantedly,initial,,,
info@willc.com,ウィルク株式会社,愛知県名古屋市中区丸の内2-17-3 丸の内T・Sビル 5階,,https://www.willc.co.jp,wantedly,initial,,,
manabu.myg@manaby.jp,株式会社manaby,宮城県仙台市宮城野区榴岡1-6-30 ディーグランツ仙台ビル5F,,http://manaby.co.jp,wantedly,initial,,,
mail@mail.com,株式会社Everforth,東京都港区南麻布５丁目４−１ オパス有栖川5F,,https://everforth.co.jp,wantedly,initial,,,
baiosonoyamada@gmail.com,バイオソノ株式会社,宮城県仙台市若林区清水小路６－１,,https://biosono.jp,wantedly,initial,,,
sample000@mail.com,株式会社monoii,東京都新宿区西新宿２丁目１−１ 新宿三井BLDG 11F,,https://www.monoii.jp,wantedly,initial,,,
info@optimax.co.jp,株式会社OptiMax,東京都文京区本郷４丁目２−４ 本郷Aビル 3階,,https://www.optimax.co.jp,wantedly,initial,,,
info@housebirdjapan.com,ハウスバード株式会社,東京都新宿区西新宿2-6-1　新宿住友ビル31階,,https://housebirdjapans.com,wantedly,initial,,,
info@bashaka.com,BASHAKA株式会社,神奈川県横浜市西区みなとみらい4-4-2 横浜ブルーアベニュー12階,,https://www.bashaka.com,wantedly,initial,,,
info@oks-j.com,株式会社大泉工場,埼玉県川口市領家5-4-1,,http://www.oks-j.com,wantedly,initial,,,
info@anicecompany.co.jp,株式会社アナイスカンパニー,東京都渋谷区神南1-4-9 テアトル神南オフィス棟1階,,http://anicecompany.co.jp,wantedly,initial,,,
info@newlocal.co.jp,株式会社NEWLOCAL,東京都中央区日本橋小舟町14-7,,https://newlocal.co.jp,wantedly,initial,,,
tinfo@newlocal.co.jp,株式会社NEWLOCAL,東京都中央区日本橋小舟町14-7,,https://newlocal.co.jp,wantedly,initial,,,
mail@goodroid.co.jp,株式会社GOODROID,東京都目黒区青葉台4-7-7 青葉台ヒルズ6F,,https://goodroid.co.jp,wantedly,initial,,,
contact_ext@goodroid.co.jp,株式会社GOODROID,東京都目黒区青葉台4-7-7 青葉台ヒルズ6F,,https://goodroid.co.jp,wantedly,initial,,,
front@event21.co.jp,株式会社イベント21,〒114-0014　東京都北区田端5-14-13（東京支店）,,http://event21.co.jp,wantedly,initial,,,
info@crossdoor.co.jp,株式会社Crossdoor,東京都台東区台東1丁目14番14号,,http://www.crossdoor.co.jp,wantedly,initial,,,
support@crossdoor.jp,株式会社Crossdoor,東京都台東区台東1丁目14番14号,,http://www.crossdoor.co.jp,wantedly,initial,,,
info@isaribi.net,ISARIBI株式会社,〒101-0021 東京都千代田区外神田1-18-19  シンアキハバラビル8階,,https://isaribi.net,wantedly,initial,,,
support@mentemo.com,株式会社メンテモ,山梨県甲府市大手一丁目２番２１号 イノベーションベースソワ１１５号室,,https://mentemo.com/inc,wantedly,initial,,,
yagi@vroom24.com,株式会社V‐Room,大阪府大阪市中央区北久宝寺町 1丁目5-15,,https://2024071701035011750347.onamaeweb.jp/vroom,wantedly,initial,,,
contact@hachimaruya808.com,ハチマルヤ合同会社,東京都渋谷区代官山町20番23号 Forestgate Daikanyama MAIN棟 3F,,https://hachimaruya808.com,wantedly,initial,,,
info@mimi-japan.co.jp,株式会社mimi-Japan,東京都中央区日本橋堀留町1-5-12 ヤシマ日本橋ビル5階,,https://www.mimi-japan.co.jp,wantedly,initial,,,
himitsu@mimi-japan.co.jp,株式会社mimi-Japan,東京都中央区日本橋堀留町1-5-12 ヤシマ日本橋ビル5階,,https://www.mimi-japan.co.jp,wantedly,initial,,,
soumu@hidakara.com,株式会社ヒダカラ,岐阜県飛騨市古川町幸栄町12-12,,http://hidakara.com,wantedly,initial,,,
support@flierinc.com,（株）フライヤー,東京都千代田区一ツ橋1-1-1 パレスサイドビル8階,,https://www.flierinc.com,wantedly,initial,,,
info@mount.jp,株式会社マウント,東京都渋谷区神宮前 6-18-1  クレインズパークビル 5F,,http://mount.jp,wantedly,initial,,,
store@value-books.jp,（株）バリューブックス,長野県上田市上田原680-17,,http://www.valuebooks.jp,wantedly,initial,,,
info@let-inc.net,株式会社LET,大阪府大阪市中央区南久宝寺4丁目4-12 IB CENTERビル 8F,,http://let-inc.net,wantedly,initial,,,
eiji.yoshikawa@let-inc.net,株式会社LET,大阪府大阪市中央区南久宝寺4丁目4-12 IB CENTERビル 8F,,http://let-inc.net,wantedly,initial,,,
logo_black-pc@2x.webp,株式会社freeweb,〒150-6090 東京都渋谷区恵比寿4-20-4 グラススクエアB1F PORTAL POINT -Ebisu- H5,,https://fwh.co.jp,wantedly,initial,,,
logo_black@2x.webp,株式会社freeweb,〒150-6090 東京都渋谷区恵比寿4-20-4 グラススクエアB1F PORTAL POINT -Ebisu- H5,,https://fwh.co.jp,wantedly,initial,,,
logo_white-pc@2x.webp,株式会社freeweb,〒150-6090 東京都渋谷区恵比寿4-20-4 グラススクエアB1F PORTAL POINT -Ebisu- H5,,https://fwh.co.jp,wantedly,initial,,,
emology@mail.com,株式会社emology,東京都渋谷区渋谷１丁目７−４ 青山小林ビル3階,,https://www.emology.co.jp,wantedly,initial,,,
info@lermo.co.jp,株式会社レルモ,東京都豊島区池袋２丁目５５−１３ 合田ビル 4階,,https://www.lermo.co.jp,wantedly,initial,,,
info@livo.co.jp,株式会社LIVO,東京都渋谷区西原3-33-12 TRK1F,,https://www.livo.co.jp/ja,wantedly,initial,,,
xxxxxx@mail.com,Kaiketsu株式会社,東京都品川区大崎1－11－2  ゲートシティ大崎イーストビル10階,,https://kai-ketsu.net,wantedly,initial,,,
info@dinamica.co.jp,株式会社Tours,東京都渋谷区渋谷2-7-12 磯野青山ビル4F/5F,,https://tours360.jp,wantedly,initial,,,
otoiawase@pictier.com,株式会社GALLUSYS,東京都新宿区西新宿3丁目2番9号,,https://gallusys.com/company.php,wantedly,initial,,,
taro@oh-my-teeth.com,Oh my teeth,東京都新宿区西新宿3-6-4  Circles西新宿 3F,,https://www.oh-my-teeth.com,wantedly,initial,,,
info@botanic.in,株式会社BOTANIC,東京都渋谷区東1-1-36 キタ・ビルデンス202,,https://www.botanic.in,wantedly,initial,,,
user@domain.com,株式会社BOTANIC,東京都渋谷区東1-1-36 キタ・ビルデンス202,,https://www.botanic.in,wantedly,initial,,,
buzzfeed@wrightsmedia.com,BuzzFeed Japan株式会社,東京都渋谷区神宮前6-12-18 WeWork アイスバーグ 7F,,http://www.buzzfeed.com,wantedly,initial,,,
info@digimarl.com,デジマール株式会社,東京都品川区東五反田2-5-9 CIRCLES with 島津山6F デジマール株式会社,,https://digimarl.com,wantedly,initial,,,
