email,company_name,address,phone,website,source,stage,last_sent_date,initial_sent_date,除外
info@augue.co.jp,株式会社Augue,,,https://augue.co.jp,wantedly_improved,initial,,,
info@al-bo.io,株式会社ALBONA,東京都渋谷区道玄坂1丁目20-8 寿パークビル4階,,https://al-bo.io/,wantedly_improved,initial,,,
support@al-bo.io,株式会社ALBONA,東京都渋谷区道玄坂1丁目20-8 寿パークビル4階,,https://al-bo.io/,wantedly_improved,initial,,,
info@follow-up.co.jp,ローカルパワーエンジン株式会社,東京都台東区台東1-29-4 第一共和ビル2階,,https://follow-up.co.jp,wantedly_improved,initial,,,
support@follow-up.co.jp,ローカルパワーエンジン株式会社,東京都台東区台東1-29-4 第一共和ビル2階,,https://follow-up.co.jp,wantedly_improved,initial,,,
sales@follow-up.co.jp,ローカルパワーエンジン株式会社,東京都台東区台東1-29-4 第一共和ビル2階,,https://follow-up.co.jp,wantedly_improved,initial,,,
info@prevent.co.jp,PREVENT,愛知県名古屋市東区葵一丁目26番12号 IKKO新栄ビル 9F,,https://prevent.co.jp,wantedly_improved,initial,,,
support@prevent.co.jp,PREVENT,愛知県名古屋市東区葵一丁目26番12号 IKKO新栄ビル 9F,,https://prevent.co.jp,wantedly_improved,initial,,,
sales@prevent.co.jp,PREVENT,愛知県名古屋市東区葵一丁目26番12号 IKKO新栄ビル 9F,,https://prevent.co.jp,wantedly_improved,initial,,,
admin@toranoana-lab.co.jp,虎の穴ラボ株式会社,東京都千代田区外神田3-5-12  聖公会神田ビル 4F,,https://toranoana-lab.co.jp,wantedly_improved,initial,,,
contact@stageon.jp,㈱STAGEON,〒103-0023 東京都中央区日本橋本町３丁目３−６ 　ワカ末ビル 5F　株式会社STAGEON,,https://stageon.jp,wantedly_improved,initial,,,
info@stageon.jp,㈱STAGEON,〒103-0023 東京都中央区日本橋本町３丁目３−６ 　ワカ末ビル 5F　株式会社STAGEON,,https://stageon.jp,wantedly_improved,initial,,,
mail@stageon.jp,㈱STAGEON,〒103-0023 東京都中央区日本橋本町３丁目３−６ 　ワカ末ビル 5F　株式会社STAGEON,,https://stageon.jp,wantedly_improved,initial,,,
info@blued.jp,株式会社ブルード,東京都目黒区青葉台3-6-28 住友不動産青葉台タワー7F,,https://blued.jp/about,wantedly_improved,initial,,,
info@rukuto.net,ルクト株式会社,東京都新宿区新宿2丁目12番13号 新宿アントレサロンビル2階,,https://rukuto.net,wantedly_improved,initial,,,
eigyo@fkcinc.co.jp,ＦＫＣ株式会社,静岡県焼津市本町２丁目１４－１６,,http://www.fkcinc.co.jp,wantedly_improved,initial,,,
info@kick-za-issue.com,KICK ZA ISSUE株式会社,東京都港区六本木3-2-1 住友不動産六本木グランドタワー,,https://kick-za-issue.com,wantedly_improved,initial,,,
contact@onebox.tokyo,Onebox株式会社,東京都渋谷区道玄坂一丁目１０番８号 渋谷道玄坂東急ビル２階,,https://onebox.tokyo,wantedly_improved,initial,,,
support@onebox.tokyo,Onebox株式会社,東京都渋谷区道玄坂一丁目１０番８号 渋谷道玄坂東急ビル２階,,https://onebox.tokyo,wantedly_improved,initial,,,
sales@onebox.tokyo,Onebox株式会社,東京都渋谷区道玄坂一丁目１０番８号 渋谷道玄坂東急ビル２階,,https://onebox.tokyo,wantedly_improved,initial,,,
contact@loftwork.com,株式会社ロフトワーク,"150-0043 東京都渋谷区道玄坂 1-22-7 道玄坂ピア 8F,9F",,https://loftwork.com/jp,wantedly_improved,initial,,,
info@loftwork.com,株式会社ロフトワーク,"150-0043 東京都渋谷区道玄坂 1-22-7 道玄坂ピア 8F,9F",,https://loftwork.com/jp,wantedly_improved,initial,,,
support@loftwork.com,株式会社ロフトワーク,"150-0043 東京都渋谷区道玄坂 1-22-7 道玄坂ピア 8F,9F",,https://loftwork.com/jp,wantedly_improved,initial,,,
info@misfits.co.jp,Misfits株式会社,東京都文京区湯島3-1-3  MSビル　8階,,https://misfits.co.jp,wantedly_improved,initial,,,
info@workaslife-inc.com,株式会社ワークアズライフ,東京都新宿区西新宿7－16－13 第2手塚ビル4階,,https://workaslife-inc.com,wantedly_improved,initial,,,
sales@workaslife-inc.com,株式会社ワークアズライフ,東京都新宿区西新宿7－16－13 第2手塚ビル4階,,https://workaslife-inc.com,wantedly_improved,initial,,,
saiyo.media1st@gmail.com,株式会社メディアファースト,東京都中央区日本橋兜町17番2号  兜町第6葉山ビル4階,,https://media1st.net,wantedly_improved,initial,,,
